,Time Stamp (ms),qw,qx,qy,qz,binned_qx,binned_qy,binned_qz,binned_qw,roll_x,pitch_y,yaw_z,binned_roll_x,binned_pitch_y,binned_yaw_z,frame
0,-37,-0.386108,0.367615,-0.186951,-0.825134,"(0.2, 0.4]","(-0.2, 0.0]","(-1.0, -0.8]","(-0.4, -0.2]",2.138679348716647,48.67855740322519,130.81455084357535,"(0.0, 6.0]","(48.0, 51.0]","(126.0, 132.0]",0
1,23,-0.421387,0.441772,-0.232666,-0.757019,"(0.4, 0.6]","(-0.4, -0.2]","(-0.8, -0.6]","(-0.6, -0.4]",-2.290021067829405,59.88221567776824,120.47675731169018,"(-6.0, 0.0]","(57.0, 60.0]","(120.0, 126.0]",1
2,71,-0.398865,0.482544,-0.149414,-0.76532,"(0.4, 0.6]","(-0.2, 0.0]","(-0.8, -0.6]","(-0.4, -0.2]",-17.69770639556959,59.07149011012327,114.86341738995166,"(-18.0, -12.0]","(57.0, 60.0]","(114.0, 120.0]",2
3,115,-0.414185,0.51532,-0.00366211,-0.750244,"(0.4, 0.6]","(-0.2, 0.0]","(-0.8, -0.6]","(-0.6, -0.4]",-41.94790905593591,50.9210404157889,101.50908378990226,"(-42.0, -36.0]","(48.0, 51.0]","(96.0, 102.0]",3
4,163,-0.322327,0.516541,-0.0263062,-0.792847,"(0.4, 0.6]","(-0.2, 0.0]","(-0.8, -0.6]","(-0.4, -0.2]",-32.063393682414414,56.72302651573851,118.11764668877869,"(-36.0, -30.0]","(54.0, 57.0]","(114.0, 120.0]",4
5,215,-0.2547,0.469788,0.0532227,-0.843567,"(0.4, 0.6]","(0.0, 0.2]","(-1.0, -0.8]","(-0.4, -0.2]",-30.76046460498036,49.949304394802525,131.79642081650994,"(-36.0, -30.0]","(48.0, 51.0]","(126.0, 132.0]",5
6,265,-0.163391,0.434082,0.109985,-0.879089,"(0.4, 0.6]","(0.0, 0.2]","(-1.0, -0.8]","(-0.2, 0.0]",-29.23426569152901,46.65544590299459,146.10792048374918,"(-30.0, -24.0]","(45.0, 48.0]","(144.0, 150.0]",6
7,320,-0.107178,0.503479,-0.017395,-0.857178,"(0.4, 0.6]","(-0.2, 0.0]","(-1.0, -0.8]","(-0.2, 0.0]",-9.012086515608848,60.09355639624856,160.52581390665014,"(-12.0, -6.0]","(60.0, 63.0]","(156.0, 162.0]",7
8,370,-0.0863647,0.541199,-0.0497437,-0.834961,"(0.4, 0.6]","(-0.2, 0.0]","(-1.0, -0.8]","(-0.2, 0.0]",-1.457515836764947,65.83381288187772,167.24560483269806,"(-6.0, 0.0]","(63.0, 66.0]","(162.0, 168.0]",8
9,419,-0.0328369,0.526611,0.0148926,-0.849365,"(0.4, 0.6]","(0.0, 0.2]","(-1.0, -0.8]","(-0.2, 0.0]",-7.664885450278162,63.32355312779976,170.84079433347054,"(-12.0, -6.0]","(63.0, 66.0]","(168.0, 174.0]",9
10,471,0.0189209,0.520935,0.0374756,-0.852539,"(0.4, 0.6]","(0.0, 0.2]","(-1.0, -0.8]","(0.0, 0.2]",-5.553923903825165,62.834308956872874,179.14870207900998,"(-6.0, 0.0]","(60.0, 63.0]","(174.0, 180.0]",10
11,519,-0.0524902,0.542236,0.0204468,-0.838318,"(0.4, 0.6]","(0.0, 0.2]","(-1.0, -0.8]","(-0.2, 0.0]",-12.509109152469044,65.09576296907947,164.83163667232103,"(-18.0, -12.0]","(63.0, 66.0]","(162.0, 168.0]",11
