Time Stamp (ms),qw,qx,qy,qz
-37,-0.386108,0.367615,-0.186951,-0.825134
23,-0.421387,0.441772,-0.232666,-0.757019
71,-0.398865,0.482544,-0.149414,-0.76532
115,-0.414185,0.51532,-0.00366211,-0.750244
163,-0.322327,0.516541,-0.0263062,-0.792847
215,-0.2547,0.469788,0.0532227,-0.843567
265,-0.163391,0.434082,0.109985,-0.879089
320,-0.107178,0.503479,-0.017395,-0.857178
370,-0.0863647,0.541199,-0.0497437,-0.834961
419,-0.0328369,0.526611,0.0148926,-0.849365
471,0.0189209,0.520935,0.0374756,-0.852539
519,-0.0524902,0.542236,0.0204468,-0.838318
569,-0.0493774,0.571045,-0.0608521,-0.8172
619,-0.0450439,0.617065,-0.114075,-0.777283
672,-0.0423584,0.615723,-0.0899048,-0.781677
724,0.0319214,0.634338,-0.134644,-0.760559
773,0.119812,0.707336,-0.0974731,-0.689758
824,0.197083,0.755615,0.0311279,-0.623901
874,0.284851,0.778076,0.0808716,-0.554016
924,0.310181,0.770935,0.0810547,-0.550354
975,0.246216,0.755188,0.108459,-0.597717
1026,0.160889,0.714905,0.157898,-0.661926
1077,0.0386963,0.5979,0.123901,-0.791016
1127,-0.0150757,0.460571,0.0550537,-0.885803
1177,-0.067749,0.445374,0.0143433,-0.892639
1227,-0.0728149,0.472046,0.0221558,-0.878296
1276,-0.045105,0.495544,0.0535889,-0.865723
1327,0.010437,0.50946,0.0267944,-0.860046
1377,-0.00830078,0.490723,0.0158691,-0.871155
1431,-0.0582886,0.494995,0.0346069,-0.866272
1481,-0.0408936,0.512451,0.0621338,-0.855469
1532,-0.0176392,0.465027,0.103577,-0.879028
1583,0.0360718,0.453125,0.0758057,-0.887451
1631,-0.00476074,0.499634,0.0665283,-0.863647
1683,-0.0484619,0.531311,0.0682373,-0.843018
1733,-0.0302124,0.501587,0.0725708,-0.861511
1786,-0.0167847,0.485352,0.0859985,-0.869934
1836,0.0272217,0.473083,0.0795288,-0.877014
1886,0.0375977,0.450928,0.108337,-0.885193
1936,0.0921021,0.45752,0.0906372,-0.879761
1986,0.120483,0.450562,0.0847778,-0.880493
2037,0.135559,0.45813,0.0708008,-0.87561
2087,0.187256,0.504944,0.0421143,-0.841553
2139,0.308594,0.626587,-0.000366211,-0.715637
2191,0.403503,0.734253,0.0790405,-0.540161
2241,0.496094,0.672668,0.201477,-0.510681
2291,0.609253,0.648438,0.150452,-0.430908
2341,0.620178,0.667114,0.103638,-0.399475
2392,0.580872,0.695374,0.10083,-0.41095
2442,0.618225,0.64563,0.0599365,-0.444275
2494,0.619263,0.598938,0.03479,-0.506592
2544,0.574646,0.703125,0.0128784,-0.333496
2682,0.633911,0.697693,-0.0147705,-0.333496
2709,0.681458,0.683105,-0.0123291,-0.262329
2745,0.684143,0.673279,0.0251465,-0.279419
2796,0.702026,0.622925,0.00714111,-0.345032
2850,0.661438,0.677124,0.00927734,-0.322388
2899,0.579773,0.758301,0.050415,-0.293701
2949,0.58783,0.768433,0.0183716,-0.252075
3000,0.641541,0.710266,0.010437,-0.289429
3047,0.651672,0.691711,0.0115967,-0.310974
3097,0.657898,0.704529,-0.0103149,-0.265869
3148,0.65271,0.696472,0.0230103,-0.29718
3202,0.687134,0.657227,-0.00726318,-0.30957
3252,0.688538,0.645691,-0.0283813,-0.328979
3303,0.691833,0.590942,-0.0286865,-0.41394
3352,0.641052,0.454773,0.0379028,-0.617065
3404,0.63031,0.335571,0.0496216,-0.698364
3453,0.6073,0.359192,0.0115356,-0.708496
3503,0.532654,0.469299,-0.0320435,-0.703552
3557,0.419617,0.447266,0.0137329,-0.789734
3608,0.407349,0.342834,0.0412598,-0.845459
3658,0.448303,0.254395,0.019043,-0.856689
3706,0.446167,0.285828,-0.0620728,-0.845825
3759,0.461121,0.300842,-0.129822,-0.824646
3807,0.502808,0.291748,-0.168213,-0.796143
3859,0.492432,0.294739,-0.194214,-0.795593
3909,0.54187,0.221008,-0.155884,-0.795776
