Time Stamp (ms),qw,qx,qy,qz
-47,0.953613,0.010437,0.218079,0.207397
26,0.952881,0.0088501,0.223694,0.204773
77,0.955444,0.00506592,0.21521,0.202026
117,0.958191,0.00256348,0.207397,0.197021
157,0.976013,-0.0129395,0.146301,0.160583
203,0.982422,-0.0515747,0.0358276,0.175598
254,0.972046,-0.0849609,0.0088501,0.218689
302,0.969299,-0.110657,0.0651855,0.209656
352,0.957947,-0.0249023,0.193237,0.210571
404,0.944519,0.0222778,0.2052,0.255493
453,0.921143,0.0209961,0.186462,0.341064
504,0.865906,0.0228882,0.234192,0.441345
554,0.813721,0.0285034,0.311157,0.490173
603,0.810364,0.0147095,0.318054,0.491821
655,0.809143,0.00964355,0.2995,0.505432
705,0.806396,0.0258789,0.308533,0.503906
757,0.806824,0.0355835,0.295532,0.510315
809,0.785645,0.0172729,0.286621,0.548035
857,0.778931,-0.0100098,0.299133,0.551086
907,0.745789,0.0186157,0.289307,0.599792
957,0.734131,0.0497437,0.269958,0.621033
1010,0.746765,0.0449829,0.27301,0.604797
1061,0.773315,0.0227051,0.276917,0.569885
1111,0.773804,0.045166,0.249878,0.580261
1161,0.854614,0.0820313,0.200439,0.471924
1210,0.712708,0.270752,0.258545,0.593262
1260,0.679993,0.176941,0.312805,0.639099
1310,0.700439,0.104004,0.328247,0.625183
1362,0.725769,0.0940552,0.311279,0.606262
1412,0.744202,0.11322,0.306885,0.582397
1463,0.722534,0.146912,0.368225,0.566406
1514,0.665283,0.196838,0.465698,0.549377
1564,0.663818,0.228882,0.477356,0.528259
1613,0.684387,0.208618,0.46759,0.519104
1664,0.673279,0.202271,0.470459,0.533325
1717,0.624878,0.218201,0.497375,0.560852
1768,0.58783,0.2229,0.527344,0.571594
1819,0.637085,0.108948,0.516663,0.561462
1869,0.674988,0.0272827,0.435974,0.594666
1921,0.690369,0.0574951,0.361633,0.623962
1969,0.68103,0.0442505,0.441711,0.582397
2020,0.688965,0.0827637,0.459839,0.554138
2072,0.640564,0.17865,0.485291,0.567688
2123,0.653809,0.202454,0.514771,0.516235
2174,0.646729,0.185852,0.543945,0.501404
2223,0.693481,0.103455,0.508362,0.499939
2274,0.694885,0.062439,0.470642,0.5401
2324,0.658386,0.0927734,0.47644,0.575256
2375,0.717834,0.103394,0.439026,0.530396
2425,0.756958,0.0926514,0.3573,0.539246
2477,0.783813,0.0809937,0.283691,0.546448
2527,0.79425,0.088501,0.23822,0.55188
2578,0.810364,0.088623,0.207458,0.540771
2629,0.825928,0.0697632,0.189148,0.526489
2678,0.839539,0.0648193,0.173096,0.510864
2728,0.814941,0.0683594,0.221741,0.531067
2778,0.818542,0.0768433,0.20282,0.531921
2829,0.806213,0.0768433,0.234558,0.537659
2881,0.800415,0.0743408,0.245117,0.541992
2931,0.79364,0.0811157,0.248535,0.549377
2981,0.769958,0.0874023,0.274414,0.569397
3030,0.734192,0.0945435,0.320251,0.591125
3082,0.678467,0.116272,0.403809,0.6026
3132,0.617981,0.156311,0.477234,0.604858
3184,0.602051,0.170898,0.48114,0.613831
3234,0.604919,0.154175,0.467041,0.626221
3286,0.613342,0.13208,0.46344,0.625793
3337,0.615051,0.137512,0.464233,0.622314
3386,0.620728,0.15448,0.466309,0.611023
3437,0.620911,0.160706,0.467957,0.608032
3487,0.621887,0.152466,0.464233,0.611938
3540,0.624695,0.1427,0.45929,0.615173
3590,0.630066,0.130981,0.46228,0.610046
3640,0.633179,0.140442,0.461243,0.60553
3691,0.633606,0.140015,0.46283,0.603943
3740,0.632507,0.137451,0.463074,0.605469
3791,0.630676,0.136414,0.460999,0.609192
3842,0.631836,0.137207,0.46228,0.606812
3894,0.633545,0.140503,0.464844,0.602295
3944,0.632385,0.139771,0.464539,0.603943
