Time Stamp (ms),qw,qx,qy,qz
-7,0.489197,0.245178,0.312134,-0.776611
49,0.514221,0.211792,0.31427,-0.769348
94,0.563293,0.160767,0.292053,-0.756042
142,0.600037,0.0840454,0.273926,-0.746887
194,0.67511,0.020752,0.25708,-0.691162
244,0.647949,-0.0528564,0.242676,-0.720032
298,0.665344,-0.0772095,0.213867,-0.71106
345,0.595642,-0.0443726,0.189209,-0.779419
398,0.554077,0.0257568,0.186584,-0.810913
446,0.606567,-0.0299072,0.176575,-0.774597
497,0.669189,-0.181641,0.182617,-0.697021
547,0.665161,-0.226807,0.214233,-0.678406
595,0.656982,-0.243713,0.245605,-0.669861
646,0.694397,-0.218262,0.246338,-0.639954
700,0.721069,-0.23938,0.254456,-0.598328
750,0.742859,-0.270508,0.274963,-0.54718
806,0.780579,-0.260376,0.260803,-0.504822
851,0.815918,-0.240051,0.227661,-0.474121
903,0.829773,-0.272522,0.211914,-0.438477
950,0.813416,-0.305847,0.205566,-0.450012
1001,0.806213,-0.299255,0.218201,-0.461365
1052,0.801514,-0.313477,0.239807,-0.449158
1104,0.79071,-0.329468,0.249695,-0.451538
1157,0.747498,-0.353027,0.232849,-0.512268
1206,0.723572,-0.350037,0.244446,-0.542419
1255,0.714417,-0.294495,0.257263,-0.580261
1304,0.723755,-0.248657,0.261414,-0.588196
1354,0.757568,-0.194214,0.270874,-0.561218
1405,0.759155,-0.182068,0.259033,-0.568726
1461,0.770203,-0.228699,0.276978,-0.527039
1509,0.768311,-0.28595,0.29718,-0.489502
1560,0.770264,-0.317139,0.306824,-0.460449
1612,0.785583,-0.333923,0.294739,-0.429565
1658,0.788513,-0.352478,0.270935,-0.424927
1710,0.794373,-0.350342,0.273682,-0.41394
1761,0.763367,-0.365601,0.258728,-0.465454
1813,0.754883,-0.358826,0.263123,-0.481812
1863,0.761841,-0.389587,0.246033,-0.455322
1914,0.781921,-0.392578,0.226807,-0.427795
1963,0.763794,-0.360718,0.190918,-0.500061
2014,0.752991,-0.306274,0.186523,-0.551758
2064,0.732971,-0.265259,0.172485,-0.602173
2113,0.681519,-0.224915,0.152527,-0.679504
2165,0.680542,-0.124512,0.151733,-0.705933
2215,0.621948,0.0262451,0.14801,-0.768494
2265,0.549683,0.248962,0.17334,-0.778381
2317,0.415894,0.394348,0.234497,-0.785217
2367,0.381775,0.419617,0.299622,-0.767029
2419,0.393616,0.37207,0.319946,-0.777344
2468,0.348328,0.477173,0.213806,-0.777954
2521,0.300476,0.464661,0.241516,-0.79718
2571,0.367493,0.38092,0.287964,-0.798096
2623,0.415833,0.312805,0.297119,-0.800598
2672,0.359131,0.236023,0.289551,-0.855286
2724,0.4151,0.174988,0.257019,-0.85498
2772,0.468384,0.107056,0.247986,-0.841248
2822,0.52832,0.010498,0.278931,-0.801819
2875,0.504761,0.0119629,0.274231,-0.81842
2925,0.410522,0.106323,0.244568,-0.871948
2976,0.291748,0.309875,0.141846,-0.893738
3028,0.182251,0.45813,0.0356445,-0.869263
3076,0.257568,0.430359,-0.0795288,-0.86145
3128,0.349976,0.344727,-0.186707,-0.850769
3177,0.248901,0.327148,-0.145203,-0.899963
3232,0.352173,0.288025,-0.104919,-0.884277
3280,0.450989,0.207764,-0.074707,-0.864807
3332,0.565125,0.0953369,-0.0216675,-0.819214
3381,0.672485,0.0365601,0.0654907,-0.736328
3432,0.796997,0.0253906,0.143616,-0.586121
3478,0.81781,-0.0623169,0.212097,-0.531311
3531,0.843262,-0.0970459,0.246704,-0.46759
3579,0.841492,-0.120789,0.235046,-0.471252
3633,0.855347,-0.142822,0.211182,-0.450989
3682,0.832336,-0.133301,0.188538,-0.503845
3733,0.80304,-0.116821,0.204651,-0.547363
3786,0.811829,-0.190186,0.216064,-0.508057
3832,0.816772,-0.246582,0.232239,-0.467041
3884,0.81012,-0.255249,0.231873,-0.47406
3934,0.841125,-0.245239,0.223816,-0.42688
3989,0.869812,-0.228821,0.192322,-0.392578
4038,0.87146,-0.224976,0.202332,-0.386047
4089,0.855835,-0.241089,0.237732,-0.391052
4140,0.849731,-0.253601,0.280151,-0.367615
4189,0.837891,-0.292542,0.284119,-0.362793
4241,0.840698,-0.308838,0.291016,-0.336365
4289,0.844971,-0.274536,0.271729,-0.369873
4342,0.847046,-0.202209,0.265076,-0.41394
4394,0.839478,-0.25824,0.227051,-0.420837
4444,0.856628,-0.290466,0.214783,-0.368286
4494,0.880005,-0.232666,0.197815,-0.363708
4543,0.894287,-0.166321,0.180481,-0.374207
4595,0.889954,-0.205322,0.16156,-0.373779
4644,0.884583,-0.248596,0.169617,-0.356262
4700,0.868225,-0.301392,0.157471,-0.361389
4748,0.863464,-0.315247,0.175659,-0.352478
